,Tm
0,CAF1235482.1
1,MBW3584689.1
2,WP_190938441.1
3,RYG57899.1
4,MCU1335817.1
5,KFG79306.1
6,PCJ21576.1
7,AOY78061.1
8,MBI1294443.1
9,WP_205684256.1
10,MCP4547454.1
11,MCF7826817.1
12,MBC8376074.1
13,MBC8190888.1
14,MCA9734455.1
15,WP_119071684.1
16,WP_100400978.1
17,WP_091580390.1
18,WP_158736375.1
19,MCG8485499.1
20,WP_042403331.1
21,WP_053430037.1
22,WP_010900021.1
23,WP_143848463.1
24,WP_009335196.1
25,WP_248138998.1
26,OXT16683.1
27,WP_251603434.1
28,WP_159862242.1
29,WP_035326586.1
30,WP_206846099.1
31,WP_076257782.1
32,WP_110610179.1
33,WP_144553911.1
34,WP_087974299.1
35,WP_034627907.1
36,WP_216830839.1
37,WP_152151171.1
38,WP_121521845.1
39,WP_250094670.1
40,WP_035667306.1
41,WP_289236664.1
42,WP_203555008.1
43,WP_042425319.1
44,WP_034630755.1
45,WP_093055282.1
46,WP_012958632.1
47,WP_026692029.1
48,WP_100372815.1
49,WP_230897054.1
50,EWG12908.1
51,WP_295970047.1
52,WP_153729465.1
53,WP_018922374.1
54,WP_120194050.1
55,WP_252312410.1
56,WP_106587434.1
57,WP_129596685.1
58,WP_129596624.1
59,WP_132243605.1
60,WP_223037640.1
61,MCT4618067.1
62,MCT4605812.1
63,WP_273840592.1
64,SES37710.1
65,WP_071312376.1
66,WP_075682278.1
67,WP_066151281.1
68,WP_034396751.1
69,WP_004341349.1
70,OFY88629.1
71,MBE7442426.1
72,MCP4978244.1
73,MCC6839186.1
74,MBI3141247.1
75,MCP4458339.1
76,WP_132495257.1
77,MQA06873.1
78,WP_277310110.1
79,MCX6641365.1
80,WP_004567470.1
81,AKQ55736.1
82,WP_029580997.1
83,KCB25341.1
84,WP_032962089.1
85,QJW45241.1
86,WP_281772936.1
87,WP_039197817.1
88,MCT8607538.1
89,WP_075293524.1
90,WP_111749935.1
91,WP_148691309.1
92,WP_229570263.1
93,MCF8460966.1
94,MCH7525270.1
95,MCB1845430.1
96,WP_301244061.1
97,MBD0023205.1
98,MBU35890.1
99,MBO4872992.1
100,WP_213108278.1
101,WP_028391986.1
102,WP_091183589.1
103,KAJ2374249.1
104,EPS62206.1
105,KAG8835765.1
106,KAG8784425.1
107,XP_048334904.1
108,KAH9718468.1
109,KAJ6918870.1
110,KAB1199756.1
111,PKI35410.1
112,GFY80287.1
113,MBA0688606.1
114,GKV12149.1
115,SCZ90358.1
116,ORE10218.1
117,KAJ6740776.1
118,KAJ6378191.1
119,KAJ6678023.1
